country_code,reference_date_1_january_31_december,births_thousands,variant
8,2015,39.526,Medium variant
8,2016,39.951,Medium variant
8,2017,40.202,Medium variant
8,2018,40.325,Medium variant
8,2019,40.311,Medium variant
8,2020,40.145,Medium variant
8,2021,39.815,Medium variant
8,2022,39.324,Medium variant
8,2023,38.69,Medium variant
8,2024,37.931,Medium variant
8,2025,37.065,Medium variant
8,2026,36.109,Medium variant
8,2027,35.093,Medium variant
8,2028,34.049,Medium variant
8,2029,33.013,Medium variant
8,2030,32.013,Medium variant
8,2031,31.072,Medium variant
8,2032,30.196,Medium variant
8,2033,29.397,Medium variant
8,2034,28.688,Medium variant
8,2035,28.087,Medium variant
8,2036,27.602,Medium variant
8,2037,27.223,Medium variant
8,2038,26.94,Medium variant
8,2039,26.744,Medium variant
8,2040,26.627,Medium variant
8,2041,26.582,Medium variant
8,2042,26.594,Medium variant
8,2043,26.643,Medium variant
8,2044,26.708,Medium variant
8,2045,26.773,Medium variant
8,2046,26.826,Medium variant
8,2047,26.857,Medium variant
8,2048,26.858,Medium variant
8,2049,26.816,Medium variant
8,2050,26.718,Medium variant
8,2051,26.556,Medium variant
8,2052,26.333,Medium variant
8,2053,26.053,Medium variant
8,2054,25.718,Medium variant
8,2055,25.33,Medium variant
8,2056,24.891,Medium variant
8,2057,24.41,Medium variant
8,2058,23.901,Medium variant
8,2059,23.376,Medium variant
8,2060,22.848,Medium variant
8,2061,22.327,Medium variant
8,2062,21.821,Medium variant
8,2063,21.338,Medium variant
8,2064,20.889,Medium variant
8,2065,20.484,Medium variant
8,2066,20.127,Medium variant
8,2067,19.817,Medium variant
8,2068,19.552,Medium variant
8,2069,19.33,Medium variant
8,2070,19.151,Medium variant
8,2071,19.014,Medium variant
8,2072,18.914,Medium variant
8,2073,18.841,Medium variant
8,2074,18.787,Medium variant
8,2075,18.745,Medium variant
8,2076,18.71,Medium variant
8,2077,18.675,Medium variant
8,2078,18.634,Medium variant
8,2079,18.58,Medium variant
8,2080,18.507,Medium variant
8,2081,18.409,Medium variant
8,2082,18.287,Medium variant
8,2083,18.142,Medium variant
8,2084,17.974,Medium variant
8,2085,17.78,Medium variant
8,2086,17.562,Medium variant
8,2087,17.323,Medium variant
8,2088,17.069,Medium variant
8,2089,16.804,Medium variant
8,2090,16.533,Medium variant
8,2091,16.261,Medium variant
8,2092,15.992,Medium variant
8,2093,15.729,Medium variant
8,2094,15.475,Medium variant
8,2095,15.23,Medium variant
8,2096,14.997,Medium variant
8,2097,14.774,Medium variant
8,2098,14.562,Medium variant
8,2099,14.362,Medium variant
12,1950,453.711,Estimates
12,1951,457.146,Estimates
12,1952,464.481,Estimates
12,1953,472.747,Estimates
12,1954,481.945,Estimates
12,1955,492.058,Estimates
12,1956,503.038,Estimates
12,1957,514.816,Estimates
12,1958,527.265,Estimates
12,1959,540.155,Estimates
12,1960,553.229,Estimates
12,1961,566.233,Estimates
12,1962,578.935,Estimates
12,1963,591.226,Estimates
12,1964,603.163,Estimates
12,1965,615.014,Estimates
12,1966,627.183,Estimates
12,1967,640.077,Estimates
12,1968,653.962,Estimates
12,1969,668.896,Estimates
12,1970,684.931,Estimates
12,1971,702.021,Estimates
12,1972,719.787,Estimates
12,1973,737.766,Estimates
12,1974,755.553,Estimates
12,1975,772.742,Estimates
12,1976,788.991,Estimates
12,1977,804.044,Estimates
12,1978,817.637,Estimates
12,1979,829.49,Estimates
12,1980,839.472,Estimates
12,1981,847.603,Estimates
12,1982,854.004,Estimates
12,1983,858.7,Estimates
12,1984,861.55,Estimates
12,1985,862.446,Estimates
12,1986,861.296,Estimates
12,1987,857.96,Estimates
12,1988,852.249,Estimates
12,1989,843.956,Estimates
12,1990,832.268,Estimates
12,1991,816.235,Estimates
12,1992,795.834,Estimates
12,1993,771.699,Estimates
12,1994,744.913,Estimates
12,1995,716.651,Estimates
