country_code,year,female_deaths
12,1959,108.103
12,1960,108.83
12,1961,109.539
12,1962,110.228
12,1963,110.9
12,1964,111.568
12,1965,112.28
12,1966,113.097
12,1967,114.035
12,1968,115.076
12,1969,116.171
12,1970,117.294
12,1971,118.419
12,1972,119.444
12,1973,120.227
12,1974,120.617
12,1975,120.343
12,1976,119.127
12,1977,116.888
12,1978,113.668
12,1979,109.595
12,1980,104.9
12,1981,99.895
12,1982,94.953
12,1983,90.406
12,1984,86.467
12,1985,83.307
12,1986,80.985
12,1987,79.348
12,1988,78.229
12,1989,77.542
12,1990,77.17
12,1991,76.988
12,1992,76.879
12,1993,76.737
12,1994,76.491
12,1995,76.072
12,1996,75.452
12,1997,74.702
12,1998,73.912
12,1999,73.146
12,2000,72.509
12,2001,72.116
12,2002,72.038
12,2003,72.316
12,2004,72.955
12,2005,73.925
12,2006,75.159
12,2007,76.548
12,2008,77.996
12,2009,79.448
12,2010,80.867
12,2011,82.242
12,2012,83.601
12,2013,84.97
12,2014,86.349
12,2015,87.742
12,2016,89.154
12,2017,90.595
12,2018,92.078
12,2019,93.615
12,2020,95.211
12,2021,96.871
12,2022,98.598
12,2023,100.398
12,2024,102.284
12,2025,104.262
12,2026,106.337
12,2027,108.514
12,2028,110.801
12,2029,113.21
12,2030,115.754
12,2031,118.443
12,2032,121.281
12,2033,124.272
12,2034,127.419
12,2035,130.729
12,2036,134.205
12,2037,137.84
12,2038,141.621
12,2039,145.536
12,2040,149.568
12,2041,153.7
12,2042,157.918
12,2043,162.211
12,2044,166.57
12,2045,170.996
12,2046,175.499
12,2047,180.086
12,2048,184.76
12,2049,189.513
12,2050,194.328
12,2051,199.186
12,2052,204.071
12,2053,208.972
12,2054,213.886
12,2055,218.828
12,2056,223.823
12,2057,228.887
12,2058,234.019
12,2059,239.203
12,2060,244.419
12,2061,249.648
12,2062,254.848
12,2063,259.974
12,2064,264.98
12,2065,269.843
12,2066,274.551
12,2067,279.093
12,2068,283.436
12,2069,287.533
12,2070,291.319
12,2071,294.734
12,2072,297.751
12,2073,300.354
12,2074,302.542
12,2075,304.321
12,2076,305.718
12,2077,306.79
12,2078,307.593
12,2079,308.166
12,2080,308.509
12,2081,308.598
12,2082,308.439
12,2083,308.076
12,2084,307.589
12,2085,307.065
12,2086,306.592
12,2087,306.253
12,2088,306.138
12,2089,306.326
12,2090,306.869
12,2091,307.786
12,2092,309.081
12,2093,310.748
12,2094,312.771
12,2095,315.147
12,2096,317.874
12,2097,320.947
12,2098,324.363
12,2099,328.124
24,1950,79.138
24,1951,79.413
24,1952,79.938
24,1953,80.409
24,1954,80.826
24,1955,81.189
24,1956,81.498
24,1957,81.754
24,1958,81.959
24,1959,82.114
24,1960,82.225
24,1961,82.298
24,1962,82.344
24,1963,82.379
24,1964,82.424
24,1965,82.493
24,1966,82.598
24,1967,82.751
24,1968,82.971
24,1969,83.282
24,1970,83.695
24,1971,84.209
24,1972,84.835
24,1973,85.592
24,1974,86.511
24,1975,87.659
24,1976,89.105
24,1977,90.871
24,1978,92.944
24,1979,95.286
24,1980,97.809
24,1981,100.4
24,1982,102.961
24,1983,105.431
24,1984,107.796
24,1985,110.113
24,1986,112.485
24,1987,115.015
24,1988,117.755
24,1989,120.69
24,1990,123.794
24,1991,127.016
24,1992,130.235
24,1993,133.317
24,1994,136.149
24,1995,138.551
24,1996,140.347
24,1997,141.511
24,1998,142.09
24,1999,142.177
24,2000,141.959
24,2001,141.679
24,2002,141.577
24,2003,141.834
24,2004,142.538
24,2005,143.704
24,2006,145.263
24,2007,147.034
24,2008,148.863
24,2009,150.683
24,2010,152.444
24,2011,154.125
24,2012,155.751
24,2013,157.344
24,2014,158.899
24,2015,160.422
24,2016,161.926
24,2017,163.426
24,2018,164.932
24,2019,166.443
24,2020,167.954
24,2021,169.456
24,2022,170.934
24,2023,172.379
24,2024,173.782
24,2025,175.141
24,2026,176.452
24,2027,177.72
24,2028,178.953
24,2029,180.154
24,2030,181.324
24,2031,182.467
24,2032,183.586
24,2033,184.688
24,2034,185.782
24,2035,186.873
24,2036,187.965
24,2037,189.063
24,2038,190.173
24,2039,191.306
24,2040,192.465
24,2041,193.653
24,2042,194.873
24,2043,196.135
24,2044,197.451
24,2045,198.834
24,2046,200.296
24,2047,201.844
24,2048,203.49
24,2049,205.244
24,2050,207.111
24,2051,209.092
24,2052,211.186
24,2053,213.393
24,2054,215.721
24,2055,218.18
24,2056,220.778
24,2057,223.519
24,2058,226.41
24,2059,229.456
24,2060,232.659
24,2061,236.018
24,2062,239.53
24,2063,243.191
24,2064,247.004
24,2065,250.966
24,2066,255.078
24,2067,259.34
24,2068,263.757
24,2069,268.333
24,2070,273.076
24,2071,277.991
24,2072,283.085
24,2073,288.36
24,2074,293.819
24,2075,299.461
24,2076,305.286
24,2077,311.289
24,2078,317.464
24,2079,323.806
24,2080,330.314
24,2081,336.984
24,2082,343.817
24,2083,350.807
24,2084,357.952
24,2085,365.252
24,2086,372.707
24,2087,380.316
24,2088,388.073
24,2089,395.969
24,2090,403.992
24,2091,412.133
24,2092,420.382
24,2093,428.732
24,2094,437.176
24,2095,445.711
24,2096,454.335
24,2097,463.046
24,2098,471.846
24,2099,480.733
28,1950,0.251
28,1951,0.252
28,1952,0.252
28,1953,0.253
28,1954,0.254
28,1955,0.255
28,1956,0.256
28,1957,0.257
28,1958,0.258
28,1959,0.259
28,1960,0.26
28,1961,0.261
28,1962,0.261
28,1963,0.261
28,1964,0.26
28,1965,0.259
28,1966,0.257
28,1967,0.255
28,1968,0.253
28,1969,0.25
28,1970,0.247
28,1971,0.245
28,1972,0.242
28,1973,0.239
28,1974,0.236
28,1975,0.234
28,1976,0.232
28,1977,0.231
28,1978,0.23
28,1979,0.229
28,1980,0.229
28,1981,0.229
28,1982,0.228
28,1983,0.227
28,1984,0.226
28,1985,0.224
28,1986,0.223
28,1987,0.222
28,1988,0.222
28,1989,0.223
28,1990,0.225
28,1991,0.228
28,1992,0.231
28,1993,0.235
28,1994,0.239
28,1995,0.243
28,1996,0.247
28,1997,0.25
28,1998,0.252
28,1999,0.254
28,2000,0.255
28,2001,0.255
28,2002,0.256
28,2003,0.256
28,2004,0.257
28,2005,0.258
28,2006,0.26
28,2007,0.261
28,2008,0.263
28,2009,0.264
28,2010,0.265
28,2011,0.266
28,2012,0.268
28,2013,0.269
28,2014,0.271
28,2015,0.273
28,2016,0.276
28,2017,0.278
28,2018,0.281
28,2019,0.285
28,2020,0.288
28,2021,0.292
28,2022,0.297
28,2023,0.301
28,2024,0.306
28,2025,0.311
28,2026,0.316
28,2027,0.322
28,2028,0.329
28,2029,0.335
28,2030,0.343
28,2031,0.35
28,2032,0.358
28,2033,0.367
28,2034,0.376
28,2035,0.385
28,2036,0.395
28,2037,0.406
28,2038,0.417
28,2039,0.43
28,2040,0.442
28,2041,0.456
28,2042,0.469
28,2043,0.484
28,2044,0.498
28,2045,0.512
28,2046,0.526
28,2047,0.54
28,2048,0.553
28,2049,0.566
28,2050,0.579
28,2051,0.591
28,2052,0.601
28,2053,0.611
28,2054,0.62
28,2055,0.628
28,2056,0.635
28,2057,0.64
28,2058,0.644
28,2059,0.647
28,2060,0.649
28,2061,0.65
28,2062,0.65
28,2063,0.648
28,2064,0.646
28,2065,0.644
28,2066,0.641
28,2067,0.638
28,2068,0.636
28,2069,0.634
28,2070,0.632
28,2071,0.632
28,2072,0.632
28,2073,0.633
28,2074,0.635
28,2075,0.638
28,2076,0.641
28,2077,0.645
28,2078,0.649
28,2079,0.654
28,2080,0.658
28,2081,0.662
28,2082,0.666
28,2083,0.67
28,2084,0.674
28,2085,0.676
28,2086,0.679
28,2087,0.68
28,2088,0.682
28,2089,0.682
28,2090,0.682
28,2091,0.681
28,2092,0.681
28,2093,0.679
28,2094,0.678
28,2095,0.676
28,2096,0.674
28,2097,0.672
28,2098,0.67
28,2099,0.668
31,1950,19.004
31,1951,19.25
31,1952,19.745
31,1953,20.248
31,1954,20.76
31,1955,21.279
31,1956,21.801
31,1957,22.317
31,1958,22.814
31,1959,23.269
31,1960,23.654
31,1961,23.943
31,1962,24.112
31,1963,24.147
31,1964,24.054
31,1965,23.842
31,1966,23.529
31,1967,23.159
31,1968,22.778
31,1969,22.426
31,1970,22.149
31,1971,21.985
31,1972,21.944
31,1973,22.029
31,1974,22.242
31,1975,22.578
31,1976,23.023
31,1977,23.54
31,1978,24.089
31,1979,24.64
31,1980,25.157
31,1981,25.609
31,1982,25.989
31,1983,26.295
31,1984,26.529
31,1985,26.714
31,1986,26.888
31,1987,27.08
31,1988,27.3
31,1989,27.536
31,1990,27.738
31,1991,27.834
31,1992,27.781
31,1993,27.563
31,1994,27.2
31,1995,26.757
31,1996,26.321
31,1997,25.978
31,1998,25.784
31,1999,25.751
31,2000,25.85
31,2001,26.016
31,2002,26.17
31,2003,26.262
31,2004,26.287
31,2005,26.269
31,2006,26.253
31,2007,26.305
31,2008,26.474
31,2009,26.781
31,2010,27.242
31,2011,27.86
31,2012,28.601
31,2013,29.429
31,2014,30.315
31,2015,31.22
31,2016,32.107
31,2017,32.952
31,2018,33.745
31,2019,34.48
31,2020,35.163
31,2021,35.813
31,2022,36.465
31,2023,37.149
31,2024,37.885
31,2025,38.685
31,2026,39.556
31,2027,40.493
31,2028,41.491
31,2029,42.551
31,2030,43.681
31,2031,44.887
31,2032,46.162
31,2033,47.498
31,2034,48.882
31,2035,50.302
31,2036,51.747
31,2037,53.2
31,2038,54.644
31,2039,56.057
31,2040,57.425
31,2041,58.737
31,2042,59.99
31,2043,61.175
31,2044,62.282
31,2045,63.296
31,2046,64.205
